id_transaction,age,quantity,price,discount_percent,rating,total_price,id_date,id_cust,id_branch,id_city,id_menu,id_category,id_method
TRX0395,27,5,25000,15,3.1,106250,TGL0501,CNA0101,BRCH001,KOA0102,MENU001,KTG0205,PAY0709
TRX0502,36,1,30000,15,1.9,25500,TGL0501,CNA0102,BRCH002,KOA0103,MENU002,KTG0206,PAY0710
TRX0726,44,3,22000,0,4.6,66000,TGL0501,CNA0103,BRCH003,KOA0104,MENU003,KTG0205,PAY0711
TRX0884,41,3,28000,0,3.7,84000,TGL0501,CNA0104,BRCH001,KOA0102,MENU004,KTG0207,PAY0709
TRX0015,53,4,23000,0,2.1,92000,TGL0502,CNA0105,BRCH004,KOA0105,MENU005,KTG0206,PAY0712
TRX0630,30,1,32000,0,2.2,32000,TGL0503,CNA0106,BRCH005,KOA0106,MENU006,KTG0206,PAY0712
TRX0702,19,4,27000,0,2.2,108000,TGL0504,CNA0107,BRCH002,KOA0103,MENU007,KTG0207,PAY0709
TRX0468,21,4,20000,15,3.7,68000,TGL0505,CNA0108,BRCH005,KOA0106,MENU008,KTG0205,PAY0711
TRX0771,45,2,28000,20,3,44800,TGL0505,CNA0109,BRCH005,KOA0106,MENU004,KTG0207,PAY0712
TRX0580,39,2,23000,15,4.6,39100,TGL0505,CNA0110,BRCH002,KOA0103,MENU005,KTG0206,PAY0709
TRX0167,40,2,20000,20,3.8,32000,TGL0505,CNA0111,BRCH004,KOA0105,MENU008,KTG0205,PAY0710
TRX0698,22,1,27000,15,4.2,22950,TGL0506,CNA0112,BRCH005,KOA0106,MENU007,KTG0207,PAY0709
TRX0998,33,1,22000,15,2.4,18700,TGL0507,CNA0113,BRCH003,KOA0104,MENU003,KTG0205,PAY0709
TRX0629,51,2,30000,5,3.8,57000,TGL0507,CNA0114,BRCH003,KOA0104,MENU002,KTG0206,PAY0710
TRX0609,46,1,18000,10,4,16200,TGL0508,CNA0115,BRCH003,KOA0104,MENU009,KTG0206,PAY0712
TRX0974,45,3,32000,5,1.4,91200,TGL0508,CNA0116,BRCH005,KOA0106,MENU006,KTG0206,PAY0709
TRX0440,53,2,22000,10,1.7,39600,TGL0508,CNA0117,BRCH004,KOA0105,MENU003,KTG0205,PAY0709
TRX0345,22,5,32000,0,1.2,160000,TGL0509,CNA0118,BRCH002,KOA0103,MENU006,KTG0206,PAY0710
TRX0022,35,4,18000,5,2.2,68400,TGL0509,CNA0119,BRCH005,KOA0106,MENU009,KTG0206,PAY0711
TRX0736,44,1,23000,10,4.5,20700,TGL0510,CNA0120,BRCH005,KOA0106,MENU005,KTG0206,PAY0709
TRX0465,25,3,18000,0,4.9,54000,TGL0510,CNA0121,BRCH004,KOA0105,MENU009,KTG0206,PAY0710
TRX0846,20,1,25000,15,3.6,21250,TGL0511,CNA0122,BRCH002,KOA0103,MENU001,KTG0205,PAY0711
TRX0434,31,3,23000,15,3.1,58650,TGL0512,CNA0123,BRCH002,KOA0103,MENU005,KTG0206,PAY0711
TRX0259,33,4,23000,20,1.1,73600,TGL0512,CNA0124,BRCH005,KOA0106,MENU005,KTG0206,PAY0711
TRX0740,25,3,30000,0,3.5,90000,TGL0513,CNA0121,BRCH004,KOA0105,MENU002,KTG0206,PAY0709
TRX0830,30,4,22000,5,3.9,83600,TGL0514,CNA0126,BRCH003,KOA0104,MENU003,KTG0205,PAY0710
TRX0806,48,1,22000,0,2.2,22000,TGL0514,CNA0127,BRCH001,KOA0102,MENU003,KTG0205,PAY0712
TRX0636,36,1,28000,15,1.6,23800,TGL0514,CNA0128,BRCH003,KOA0104,MENU004,KTG0207,PAY0711
TRX0237,49,4,32000,0,3.5,128000,TGL0515,CNA0129,BRCH003,KOA0104,MENU006,KTG0206,PAY0710
TRX0087,33,2,20000,0,4,40000,TGL0516,CNA0130,BRCH002,KOA0103,MENU008,KTG0205,PAY0712
TRX0951,45,1,23000,0,2.7,23000,TGL0517,CNA0131,BRCH004,KOA0105,MENU005,KTG0206,PAY0709
TRX0112,40,3,25000,20,4,60000,TGL0517,CNA0132,BRCH004,KOA0105,MENU001,KTG0205,PAY0712
TRX0950,42,1,25000,0,3.9,25000,TGL0518,CNA0133,BRCH002,KOA0103,MENU001,KTG0205,PAY0709
TRX0306,54,2,20000,0,1,40000,TGL0518,CNA0134,BRCH002,KOA0103,MENU008,KTG0205,PAY0711
TRX0137,21,3,28000,20,1.9,67200,TGL0519,CNA0108,BRCH003,KOA0104,MENU004,KTG0207,PAY0712
